French,Portuguese
terre,terra
belle,lindo
espère,ter esperança
aimerais,gostaria
loin,distante
as-tu,você tem
donne,dado
fin,fim
croire,acreditar
mme,senhora
aura,terá
gros,gordo
boulot,trabalho
plutôt,em vez de
prêt,preparar
filles,garotas
bureau,mesa
mourir,morrer
hier,ontem
possible,possível
jouer,jogar
demander,perguntar
voulait,desejado
beau,lindo
jeune,jovem
euh,uh
dehors,fora
docteur,doutor
a-t-il,ele fez
confiance,confiar
appeler,ligar
années,anos
vérité,verdade
école,escola
chef,chefe
femmes,mulheres
propos,sobre
vivre,ao vivo
regardez,olhar
feu,fogo
journée,dia
madame,sra.
hey,ei
téléphone,telefone
près,fechar
affaires,negócios
meilleur,melhor
devez,deve
dessus,acima
mains,mãos
penses,pensar
équipe,equipe
vas-y,vá em frente
grande,grande
manger,comer
arriver,chegar
dur,duro
guerre,guerra
ait,ter
appelé,chamado
marche,andar
sécurité,segurança
garçon,garoto
essaie,tentar
important,importante
dites,dizer
exactement,exatamente
font,fazer
fort,forte
presque,quase
plein,completo
derrière,atrás
mariage,casado
parents,pais
capitaine,capitão
dernier,durar
fou,louco
ceux,aqueles
tomber,cair
attendre,esperar por
vue,visualizar
pensé,pensar
souviens,lembrar
envie,inveja
fête,festa
jeu,jogo
génial,incrível
pays,país
garde,guarda
cours,curso
bientôt,breve
ii,eu
numéro,número
personnes,pessoas
